Record ID,AIM - Actionability Date,AIM - Company Notes,AIM - Direct Relationship,AIM - EBITDA Estimate,AIM - Ranking,AIM - Revenue Estimate,AIM - Top Prospect,Pipeline Opportunity,Company name,Company owner,AIM - Next Touch Date,AIM - Actionable Date,State/Region,City,Description,AIM - Known Ranking,FTE,Create Date,Last Modified Date,Associated Company,Associated Company IDs
10259551849,2023 - 2H,,Yes,,A,17,,,HammerTech,Matt Klein,,2023-12-29,Victoria,Richmond,"From pre-construction to daily ops, safety and quality, HammerTech helps you manage personnel, processes, equipment and more with a mobile, agile, configurable system that adapts to support your needs.",,77,2022-12-06 08:49,2024-01-26 13:52,,
10263553411,,,,,,,,,Aimequitypartners,,,,,,,,,2022-12-06 15:36,2024-02-02 03:50,,
10263373882,,,,,,,,,Bank Street Group LLC,,,,CT,Stamford,"Bank Street is an independent investment banking firm providing M&A, Capital Markets, and Restructuring services.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263365505,,,,,,,,,Ernst & Young Nederland LLP,,,,Greater London,London,"EY provides consulting, assurance, tax and transaction services that help solve our client’s toughest challenges and build a better working world for all. EY is a global leader in assurance, tax, transaction and advisory services. The insights and qual...",,,2022-12-06 15:36,2024-02-01 18:35,,
10263532677,,,,,,,,,Raymond James,,,,FL,St. Petersburg,"Raymond James Financial, Inc. is a financial services company. It is a company that a global financial services firm that focuses on providing advice and tailored, strategies for individuals and institutions. The company engages in the underwriting, distribution, trading, and brokerage of equity and debt securities and the sale of mutual funds and other investment products internationally. It serves its clients across the nation.",,16346,2022-12-06 15:36,2024-02-01 19:45,,
10263466557,,,,,,,,,MTS Health Partners,,,,NY,New York,"MTS Health Partners, L.P. is a boutique investment bank that offers corporate finance advisory services to the healthcare sector. The firm",,,2022-12-06 15:36,2024-01-26 15:19,,
10263435149,,,,,,,,,Sutton Capital Partners,,,,CA,Los Angeles,Sutton Capital Partners is a boutique investment banking firm focused on middle market technology companies.,,,2022-12-06 15:36,2024-01-30 18:20,,
10263417248,,,,,,,,,Sandfox Advisors,,,,CA,Santa Monica,Home,,,2022-12-06 15:36,2023-12-15 09:47,,
10263562034,,,,,,,,,Covington Associates,,,,MA,Boston,Covington Associates’ Investment Banking services are customized to meet the needs of each individual client.,,,2022-12-06 15:36,2024-02-01 17:52,,
10263402664,,,,,,,,,Mesirow,,,,IL,Chicago,"Mesirow is an independent financial services firm that is committed to investing in our clients, our communities and our workplace culture",,,2022-12-06 15:36,2024-02-01 10:30,,
10263488935,,,,,,,,,Avondale Partners LLC,,,,GA,,"Avondale Partners is a leading healthcare-focused boutique investment banking firm.  We deliver bespoke solutions and superior outcomes to our clients by leveraging our domain expertise, broad transaction experience, and extensive network of relationsh...",,,2022-12-06 15:36,2024-02-01 15:54,,
10263511102,,,,,,,,,Consilium Partners,,,,MA,Boston,Consilium Partners is a Boston-based investment banking firm providing merger and acquisition advisory and capital raising services to middle market and emerging growth companies.,,,2022-12-06 15:36,2024-01-30 08:50,,
